State,Total,Under 5 Years,5 to 13 Years,14 to 17 Years,18 to 24 Years,16 Years and Over,18 Years and Over,15 to 44 Years
AL,4661900,310504,552339,259034,450818,3671200,3540023,1878306
AK,686293,52083,85640,42153,74257,528405,506417,305207
AZ,6500180,515910,828669,362642,601943,4975709,4792959,2680368
AR,2855390,202070,343207,157204,264160,2233398,2152909,1137988
CA,36756666,2704659,4499890,2159981,3853788,28492781,27392136,16091480
CO,4939456,358280,587154,261701,466194,3865113,3732321,2129158
CT,3501252,211637,403658,196918,325110,2788471,2689039,1390702
DE,873092,59319,99496,47414,84464,690990,666863,350565
DC,591833,36352,50439,25225,75569,492806,479817,288300
FL,18328340,1140516,1938695,925060,1607297,14796088,14324069,7090172
GA,9685744,740521,1250460,557860,919876,7417769,7136903,4187887
HI,1288198,87207,134025,64011,124834,1035429,1002955,529382
ID,1523816,121746,201192,89702,147606,1156761,1111176,621672
IL,12901563,894368,1558919,725973,1311479,10088978,9722303,5455020
IN,6376792,443089,780199,361393,605863,4974895,4792111,2603160
IA,3002555,201321,345409,165883,306398,2374594,2289942,1182767
KS,2802134,202529,342134,155822,293114,2180905,2101649,1139193
KY,4269245,284601,493536,229927,381394,3378568,3261181,1735205
LA,4410796,310716,542341,254916,471275,3432616,3302823,1826987
ME,1316456,71459,133656,69752,112682,1077777,1041589,497847
MD,5633597,371787,651923,316873,543470,4455297,4293014,2340626
MA,6497967,383568,701752,341713,665879,5245355,5070934,2707831
MI,10003422,625526,1179503,585169,974480,7913100,7613224,4047073
MN,5220393,358471,606802,289371,507289,4113132,3965749,2142434
MS,2938618,220813,371502,174405,305964,2259986,2171898,1202339
MO,5911605,399450,690476,331543,560463,4659430,4490136,2381522
MT,967440,61114,106088,53156,95232,774664,747082,372043
NE,1783432,132092,215265,99638,186657,1387409,1336437,719367
NV,2600167,199175,325650,142976,212379,2004027,1932366,1089478
NH,1315809,75297,144235,73826,119114,1060287,1022451,520357
NJ,8682661,557421,1011656,478505,769321,6877132,6635079,3510101
NM,1984356,148323,241326,112801,203097,1539499,1481906,805851
NY,19490297,1208495,2141490,1058031,1999120,15624059,15082281,8158231
NC,9222414,652823,1097890,492964,883397,7228860,6978737,3831668
ND,641481,41896,67358,33794,82629,515794,498433,263162
OH,11485910,743750,1340492,646135,1081734,9085157,8755533,4590870
OK,3642361,266547,438926,200562,369916,2839156,2736326,1479166
OR,3790060,243483,424167,199925,338162,3025474,2922485,1534279
PA,12448279,737462,1345341,679201,1203944,10033800,9686275,4877273
RI,1050788,60934,111408,56198,114502,850951,822248,434905
SC,4479800,303024,517803,245400,438147,3539603,3413573,1818126
SD,804194,58566,94438,45305,82869,629010,605885,313905
TN,6214888,416334,725948,336312,550612,4907628,4736294,2524606
TX,24326974,2027307,3277946,1420518,2454721,18315472,17601203,10540819
UT,2736424,268916,413034,167685,329585,1972123,1886789,1228432
VT,621270,32635,62538,33757,61679,509882,492340,242818
VA,7769089,522672,887525,413004,768475,6155777,5945888,3284355
WA,6549224,433119,750274,357782,610378,5191341,5008049,2733393
WV,1814468,105435,189649,91074,157989,1475218,1428310,697910
WI,5627967,362277,640286,311849,553914,4472917,4313555,2278148
WY,532668,38253,60890,29314,53980,419262,404211,213580